State,Level,Name,TRU,TOT_P,TOT_M,TOT_F
08,DISTRICT,Jhunjhunun,Total,2137045,1095896,1041149
08,DISTRICT,Jhunjhunun,Rural,1647966,842718,805248
08,DISTRICT,Jhunjhunun,Urban,489079,253178,235901
08,DISTRICT,Alwar,Total,3674179,1939026,1735153
08,DISTRICT,Alwar,Rural,3019728,1589508,1430220
08,DISTRICT,Alwar,Urban,654451,349518,304933
08,DISTRICT,Bharatpur,Total,2548462,1355726,1192736
08,DISTRICT,Bharatpur,Rural,2053363,1093357,960006
08,DISTRICT,Bharatpur,Urban,495099,262369,232730
08,DISTRICT,Dhaulpur,Total,1206516,653647,552869
08,DISTRICT,Dhaulpur,Rural,959066,520930,438136
08,DISTRICT,Dhaulpur,Urban,247450,132717,114733
08,DISTRICT,Karauli,Total,1458248,783639,674609
08,DISTRICT,Karauli,Rural,1240143,668185,571958
08,DISTRICT,Karauli,Urban,218105,115454,102651
08,DISTRICT,Sawai Madhopur,Total,1335551,704031,631520
08,DISTRICT,Sawai Madhopur,Rural,1069084,564592,504492
08,DISTRICT,Sawai Madhopur,Urban,266467,139439,127028
08,DISTRICT,Dausa,Total,1634409,857787,776622
08,DISTRICT,Dausa,Rural,1432616,751900,680716
08,DISTRICT,Dausa,Urban,201793,105887,95906
08,DISTRICT,Jaipur,Total,6626178,3468507,3157671
08,DISTRICT,Jaipur,Rural,3154331,1642924,1511407
08,DISTRICT,Jaipur,Urban,3471847,1825583,1646264
08,DISTRICT,Sikar,Total,2677333,1374990,1302343
08,DISTRICT,Sikar,Rural,2043427,1047469,995958
08,DISTRICT,Sikar,Urban,633906,327521,306385
08,DISTRICT,Nagaur,Total,3307743,1696325,1611418
08,DISTRICT,Nagaur,Rural,2670539,1368771,1301768
08,DISTRICT,Nagaur,Urban,637204,327554,309650
08,DISTRICT,Jodhpur,Total,3687165,1923928,1763237
08,DISTRICT,Jodhpur,Rural,2422551,1260328,1162223
08,DISTRICT,Jodhpur,Urban,1264614,663600,601014
08,DISTRICT,Jaisalmer,Total,669919,361708,308211
08,DISTRICT,Jaisalmer,Rural,580894,312447,268447
08,DISTRICT,Jaisalmer,Urban,89025,49261,39764
08,DISTRICT,Barmer,Total,2603751,1369022,1234729
08,DISTRICT,Barmer,Rural,2421914,1273249,1148665
08,DISTRICT,Barmer,Urban,181837,95773,86064
08,DISTRICT,Jalor,Total,1828730,936634,892096
08,DISTRICT,Jalor,Rural,1676975,857619,819356
08,DISTRICT,Jalor,Urban,151755,79015,72740
08,DISTRICT,Sirohi,Total,1036346,534231,502115
08,DISTRICT,Sirohi,Rural,827692,424252,403440
08,DISTRICT,Sirohi,Urban,208654,109979,98675
08,DISTRICT,Pali,Total,2037573,1025422,1012151
08,DISTRICT,Pali,Rural,1577567,787559,790008
08,DISTRICT,Pali,Urban,460006,237863,222143
08,DISTRICT,Ajmer,Total,2583052,1324085,1258967
08,DISTRICT,Ajmer,Rural,1547642,789397,758245
08,DISTRICT,Ajmer,Urban,1035410,534688,500722
08,DISTRICT,Tonk,Total,1421326,728136,693190
08,DISTRICT,Tonk,Rural,1103603,568045,535558
08,DISTRICT,Tonk,Urban,317723,160091,157632
08,DISTRICT,Bundi,Total,1110906,577160,533746
08,DISTRICT,Bundi,Rural,888205,461734,426471
08,DISTRICT,Bundi,Urban,222701,115426,107275
08,DISTRICT,Bhilwara,Total,2408523,1220736,1187787
08,DISTRICT,Bhilwara,Rural,1895869,955378,940491
08,DISTRICT,Bhilwara,Urban,512654,265358,247296
08,DISTRICT,Rajsamand,Total,1156597,581339,575258
08,DISTRICT,Rajsamand,Rural,972777,486960,485817
08,DISTRICT,Rajsamand,Urban,183820,94379,89441
08,DISTRICT,Dungarpur,Total,1388552,696532,692020
08,DISTRICT,Dungarpur,Rural,1299809,651046,648763
08,DISTRICT,Dungarpur,Urban,88743,45486,43257
08,DISTRICT,Banswara,Total,1797485,907754,889731
08,DISTRICT,Banswara,Rural,1669864,842767,827097
08,DISTRICT,Banswara,Urban,127621,64987,62634
08,DISTRICT,Chittaurgarh,Total,1544338,783171,761167
08,DISTRICT,Chittaurgarh,Rural,1259074,636415,622659
08,DISTRICT,Chittaurgarh,Urban,285264,146756,138508
08,DISTRICT,Kota,Total,1951014,1021161,929853
08,DISTRICT,Kota,Rural,774410,401331,373079
08,DISTRICT,Kota,Urban,1176604,619830,556774
08,DISTRICT,Baran,Total,1222755,633945,588810
08,DISTRICT,Baran,Rural,968541,502228,466313
08,DISTRICT,Baran,Urban,254214,131717,122497
08,DISTRICT,Jhalawar,Total,1411129,725143,685986
08,DISTRICT,Jhalawar,Rural,1181838,606533,575305
08,DISTRICT,Jhalawar,Urban,229291,118610,110681
08,DISTRICT,Udaipur,Total,3068420,1566801,1501619
08,DISTRICT,Udaipur,Rural,2459994,1251316,1208678
08,DISTRICT,Udaipur,Urban,608426,315485,292941
08,DISTRICT,Pratapgarh,Total,867848,437744,430104
08,DISTRICT,Pratapgarh,Rural,796041,401171,394870
08,DISTRICT,Pratapgarh,Urban,71807,36573,35234
09,STATE,UTTAR PRADESH,Total,199812341,104480510,95331831
09,STATE,UTTAR PRADESH,Rural,155317278,80992995,74324283
09,STATE,UTTAR PRADESH,Urban,44495063,23487515,21007548
09,DISTRICT,Saharanpur,Total,3466382,1834106,1632276
09,DISTRICT,Saharanpur,Rural,2399856,1269803,1130053
09,DISTRICT,Saharanpur,Urban,1066526,564303,502223
09,DISTRICT,Muzaffarnagar,Total,4143512,2193434,1950078
09,DISTRICT,Muzaffarnagar,Rural,2952200,1565004,1387196
09,DISTRICT,Muzaffarnagar,Urban,1191312,628430,562882
09,DISTRICT,Bijnor,Total,3682713,1921215,1761498
09,DISTRICT,Bijnor,Rural,2757401,1438412,1318989
09,DISTRICT,Bijnor,Urban,925312,482803,442509
09,DISTRICT,Moradabad,Total,4772006,2503186,2268820
09,DISTRICT,Moradabad,Rural,3198383,1680022,1518361
09,DISTRICT,Moradabad,Urban,1573623,823164,750459
09,DISTRICT,Rampur,Total,2335819,1223889,1111930
09,DISTRICT,Rampur,Rural,1747172,916878,830294
09,DISTRICT,Rampur,Urban,588647,307011,281636
09,DISTRICT,Jyotiba Phule Nagar,Total,1840221,963449,876772
09,DISTRICT,Jyotiba Phule Nagar,Rural,1381508,724539,656969
09,DISTRICT,Jyotiba Phule Nagar,Urban,458713,238910,219803
09,DISTRICT,Meerut,Total,3443689,1825743,1617946
09,DISTRICT,Meerut,Rural,1684507,894920,789587
09,DISTRICT,Meerut,Urban,1759182,930823,828359
09,DISTRICT,Baghpat,Total,1303048,700070,602978
09,DISTRICT,Baghpat,Rural,1028023,553807,474216
09,DISTRICT,Baghpat,Urban,275025,146263,128762
09,DISTRICT,Ghaziabad,Total,4681645,2488834,2192811
09,DISTRICT,Ghaziabad,Rural,1519098,808222,710876
09,DISTRICT,Ghaziabad,Urban,3162547,1680612,1481935
