districtid,overallid,dose1,dose2
OR_Kendrapara,overall,490467,133965
OR_Kendujhar,overall,567179,122056
OR_Khordha,overall,1492206,1010751
OR_Koraput,overall,522845,122770
OR_Malkangiri,overall,178852,36420
OR_Mayurbhanj,overall,660631,161227
OR_Nabarangapur,overall,340015,58839
OR_Nayagarh,overall,321607,83092
OR_Nuapada,overall,270910,43368
OR_Puri,overall,668750,166003
OR_Rayagada,overall,329634,69022
OR_Sambalpur,overall,535273,111778
OR_Subarnapur,overall,239736,50193
OR_Sundargarh,overall,689061,182855
PB_Amritsar,overall,622939,189905
PB_Barnala,overall,138489,36141
PB_Bathinda,overall,299373,86420
PB_Faridkot,overall,168040,55432
PB_Fatehgarh Sahib,overall,193007,40954
PB_Fazilka,overall,197864,48339
PB_Ferozepur,overall,181325,46378
PB_Gurdaspur,overall,522149,187547
PB_Hoshiarpur,overall,727070,235989
PB_Jalandhar,overall,814817,285628
PB_Kapurthala,overall,232695,78780
PB_Ludhiana,overall,1208461,385499
PB_Mansa,overall,135381,30975
PB_Moga,overall,237374,54243
PB_Pathankot,overall,274125,87770
PB_Patiala,overall,570089,159553
PB_Rupnagar,overall,223007,50352
PB_S.A.S. Nagar,overall,640534,195695
PB_Sangrur,overall,299555,80397
PB_Shahid Bhagat Singh Nagar,overall,212785,68475
PB_Sri Muktsar Sahib,overall,250136,54258
PB_Tarn Taran,overall,256804,59903
PY_Karaikal,overall,96042,19465
PY_Mahe,overall,30907,13126
PY_Puducherry,overall,462735,119497
PY_Yanam,overall,26594,5148
RJ_Ajmer,overall,1260157,417164
RJ_Alwar,overall,1470360,530526
RJ_Banswara,overall,724958,194414
RJ_Baran,overall,488924,127621
RJ_Barmer,overall,998839,289458
RJ_Bharatpur,overall,968677,244845
RJ_Bhilwara,overall,960891,282707
RJ_Bikaner,overall,1001520,355014
RJ_Bundi,overall,490895,160437
RJ_Chittorgarh,overall,645139,186085
RJ_Churu,overall,820466,246032
RJ_Dausa,overall,681733,142232
RJ_Dholpur,overall,487653,122868
RJ_Dungarpur,overall,540083,138927
RJ_Ganganagar,overall,741884,266998
RJ_Hanumangarh,overall,717963,213975
RJ_Jaipur,overall,2946433,1014322
RJ_Jaisalmer,overall,282413,80076
RJ_Jalore,overall,717677,175918
RJ_Jhalawar,overall,613985,140399
RJ_Jhunjhunu,overall,952847,347869
RJ_Jodhpur,overall,1542099,560446
RJ_Karauli,overall,589562,142698
RJ_Kota,overall,892276,325307
RJ_Nagaur,overall,1369731,558048
RJ_Pali,overall,800049,258411
RJ_Pratapgarh,overall,382915,79262
RJ_Rajsamand,overall,479121,114933
RJ_Sawai Madhopur,overall,541702,140678
RJ_Sikar,overall,1178809,444674
RJ_Sirohi,overall,429580,141766
RJ_Tonk,overall,617382,169068
RJ_Udaipur,overall,1195059,370381
SK_East Sikkim,overall,252376,80174
SK_North Sikkim,overall,31734,9586
SK_South Sikkim,overall,116797,36563
SK_West Sikkim,overall,99922,31719
TG_Adilabad,overall,102774,34441
TG_Bhadradri Kothagudem,overall,271566,80911
TG_Hyderabad,overall,2559011,906309
TG_Jagtial,overall,211881,93364
TG_Jangaon,overall,104689,43562
TG_Jayashankar Bhupalapally,overall,139834,41928
TG_Jogulamba Gadwal,overall,81941,26417
TG_Kamareddy,overall,222830,92871
TG_Karimnagar,overall,399106,163858
TG_Khammam,overall,422413,105043
TG_Komaram Bheem,overall,70674,23196
TG_Mahabubabad,overall,186935,66052
TG_Mahabubnagar,overall,162824,64070
TG_Mancherial,overall,211576,64717
TG_Medak,overall,175497,57552
TG_Medchal Malkajgiri,overall,1568595,534671
TG_Mulugu,overall,95566,29590
TG_Nagarkurnool,overall,144807,53187
TG_Nalgonda,overall,338773,80855
TG_Narayanpet,overall,62444,16985
TG_Nirmal,overall,167959,81537
TG_Nizamabad,overall,309037,118396
TG_Peddapalli,overall,283506,76064
TG_Rajanna Sircilla,overall,155270,68534
TG_Ranga Reddy,overall,1623649,538193
TG_Sangareddy,overall,354537,116839
TG_Siddipet,overall,301191,118777
TG_Suryapet,overall,254753,78972
TG_Vikarabad,overall,121682,41361
TG_Wanaparthy,overall,91061,34017
TG_Warangal Rural,overall,142093,34349
TG_Warangal Urban,overall,484676,138403
TG_Yadadri Bhuvanagiri,overall,250539,127093
TN_Ariyalur,overall,185706,34467
TN_Chengalpattu,overall,723075,194498
TN_Chennai,overall,3192545,1191329
TN_Coimbatore,overall,1558849,367472
TN_Cuddalore,overall,577218,114903
TN_Dharmapuri,overall,418966,68649
TN_Dindigul,overall,573368,113002
TN_Erode,overall,718383,129173
TN_Kallakurichi,overall,313083,45276
TN_Kancheepuram,overall,306711,46858
TN_Kanyakumari,overall,550893,116025
TN_Karur,overall,309227,54085
TN_Krishnagiri,overall,596961,108515
TN_Madurai,overall,786060,188840
TN_Nagapattinam,overall,399779,58996
TN_Namakkal,overall,543375,118141
TN_Nilgiris,overall,392074,103208
TN_Perambalur,overall,173685,31271
TN_Pudukkottai,overall,437501,64578
TN_Ramanathapuram,overall,395790,63928
TN_Ranipet,overall,252509,44537
