State,Level,Name,TOT_P,TOT_M,TOT_F
27,STATE,Maharashtra,112374333,58243056,54131277
27,DISTRICT,nandurbar,1648295,833170,815125
27,DISTRICT,dhule,2050862,1054031,996831
27,DISTRICT,jalgaon,4229917,2197365,2032552
27,DISTRICT,buldhana,2586258,1337560,1248698
27,DISTRICT,akola,1813906,932334,881572
27,DISTRICT,washim,1197160,620302,576858
27,DISTRICT,amravati,2888445,1480768,1407677
27,DISTRICT,wardha,1300774,668385,632389
27,DISTRICT,nagpur,4653570,2384975,2268595
27,DISTRICT,bhandara,1200334,605520,594814
27,DISTRICT,gondia,1322507,661554,660953
27,DISTRICT,gadchiroli,1072942,541328,531614
27,DISTRICT,chandrapur,2204307,1123834,1080473
27,DISTRICT,yavatmal,2772348,1419965,1352383
27,DISTRICT,nanded,3361292,1730075,1631217
27,DISTRICT,hingoli,1177345,606294,571051
27,DISTRICT,parbhani,1836086,942870,893216
27,DISTRICT,jalna,1959046,1011473,947573
27,DISTRICT,aurangabad,3701282,1924469,1776813
27,DISTRICT,nashik,6107187,3157186,2950001
27,DISTRICT,thane,11060148,5865078,5195070
27,DISTRICT,mumbai suburban,9356962,5031323,4325639
27,DISTRICT,mumbai,3085411,1684608,1400803
27,DISTRICT,raigarh,2634200,1344345,1289855
27,DISTRICT,pune,9429408,4924105,4505303
27,DISTRICT,ahmednagar,4543159,2342825,2200334
27,DISTRICT,beed,2585049,1349106,1235943
27,DISTRICT,latur,2454196,1273140,1181056
27,DISTRICT,osmanabad,1657576,861535,796041
27,DISTRICT,solapur,4317756,2227852,2089904
27,DISTRICT,satara,3003741,1510842,1492899
27,DISTRICT,ratnagiri,1615069,761121,853948
27,DISTRICT,sindhudurg,849651,417332,432319
27,DISTRICT,kolhapur,3876001,1980658,1895343
27,DISTRICT,sangli,2822143,1435728,1386415
28,STATE,Andhra Pradesh,49386799,24738068,24648731
26,DISTRICT,adilabad,2741239,1369597,1371642
26,DISTRICT,nizamabad,2551335,1250641,1300694
26,DISTRICT,karimnagar,3776269,1880800,1895469
26,DISTRICT,medak,3033288,1523030,1510258
26,DISTRICT,hyderabad,3943323,2018575,1924748
26,DISTRICT,ranga reddy,5296741,2701008,2595733
26,DISTRICT,mahabubnagar,4053028,2050386,2002642
26,DISTRICT,nalgonda,3488809,1759772,1729037
26,DISTRICT,warangal,3512576,1759281,1753295
26,DISTRICT,khammam,2797370,1390988,1406382
28,DISTRICT,srikakulam,2703114,1341738,1361376
28,DISTRICT,vizianagaram,2344474,1161477,1182997
28,DISTRICT,visakhapatnam,4290589,2138910,2151679
28,DISTRICT,east godavari,5154296,2569688,2584608
